,sio2,tio2,al2o3,feo,fe2o3,mno,na2o,k2o,mgo,cao,p2o5,h2o,prct_l,prct_c,Cancri_visco
0,0.0,0.0,0.368421052631579,0.0,0.0,0.0,0.0,0.0,0.0,0.631578947368421,0.0,0.0,0.0,1.0,22.271993341802744
1,0.0,0.0,0.368421052631579,0.0,0.0,0.0,0.0,0.0,0.0,0.631578947368421,0.0,0.0,0.0,1.0,22.271993341802744
2,0.0,0.0,0.368421052631579,0.0,0.0,0.0,0.0,0.0,0.0,0.631578947368421,0.0,0.0,0.0,1.0,22.271993341802744
3,0.0,0.0,0.368421052631579,0.0,0.0,0.0,0.0,0.0,0.0,0.631578947368421,0.0,0.0,0.0,1.0,22.271993341802744
4,0.0,0.0,0.368421052631579,0.0,0.0,0.0,0.0,0.0,0.0,0.631578947368421,0.0,0.0,0.0,1.0,22.271993341802744
5,0.0,0.0,0.368421052631579,0.0,0.0,0.0,0.0,0.0,0.0,0.631578947368421,0.0,0.0,0.0,1.0,22.271993341802744
6,0.0,0.0,0.368421052631579,0.0,0.0,0.0,0.0,0.0,0.0,0.631578947368421,0.0,0.0,0.0,1.0,22.271993341802744
7,0.0,0.0,0.368421052631579,0.0,0.0,0.0,0.0,0.0,0.0,0.631578947368421,0.0,0.0,0.0,1.0,22.271993341802744
8,0.0,0.0,0.368421052631579,0.0,0.0,0.0,0.0,0.0,0.0,0.631578947368421,0.0,0.0,0.0,1.0,22.271993341802744
9,0.0,0.0,0.368421052631579,0.0,0.0,0.0,0.0,0.0,0.0,0.631578947368421,0.0,0.0,0.0,1.0,22.271993341802744
10,0.0,0.0,0.368421052631579,0.0,0.0,0.0,0.0,0.0,0.0,0.631578947368421,0.0,0.0,0.0,1.0,22.271993341802744
11,0.0,0.0,0.368421052631579,0.0,0.0,0.0,0.0,0.0,0.0,0.631578947368421,0.0,0.0,0.0,1.0,22.271993341802744
12,0.0,0.0,0.368421052631579,0.0,0.0,0.0,0.0,0.0,0.0,0.631578947368421,0.0,0.0,0.0,1.0,22.271993341802744
13,0.0,0.0,0.368421052631579,0.0,0.0,0.0,0.0,0.0,0.0,0.631578947368421,0.0,0.0,0.0,1.0,22.271993341802744
14,0.0,0.0,0.368421052631579,0.0,0.0,0.0,0.0,0.0,0.0,0.631578947368421,0.0,0.0,0.0,1.0,22.271993341802744
15,0.0,0.0,0.368421052631579,0.0,0.0,0.0,0.0,0.0,0.0,0.631578947368421,0.0,0.0,0.0,1.0,22.271993341802744
16,0.0,0.0,0.368421052631579,0.0,0.0,0.0,0.0,0.0,0.0,0.631578947368421,0.0,0.0,0.0,1.0,22.271993341802744
17,0.0,0.0,0.368421052631579,0.0,0.0,0.0,0.0,0.0,0.0,0.631578947368421,0.0,0.0,0.0,1.0,22.271993341802744
18,0.0,0.0,0.368421052631579,0.0,0.0,0.0,0.0,0.0,0.0,0.631578947368421,0.0,0.0,0.0,1.0,22.271993341802744
19,0.0,0.0,0.368421052631579,0.0,0.0,0.0,0.0,0.0,0.0,0.631578947368421,0.0,0.0,0.0,1.0,22.271993341802744
20,0.0,0.0,0.368421052631579,0.0,0.0,0.0,0.0,0.0,0.0,0.631578947368421,0.0,0.0,0.0,1.0,22.271993341802744
21,0.0,0.0,0.368421052631579,0.0,0.0,0.0,0.0,0.0,0.0,0.631578947368421,0.0,0.0,0.0,1.0,22.271993341802744
22,0.0,0.0,0.368421052631579,0.0,0.0,0.0,0.0,0.0,0.0,0.631578947368421,0.0,0.0,0.0,1.0,22.271993341802744
23,0.0,0.0,0.368421052631579,0.0,0.0,0.0,0.0,0.0,0.0,0.631578947368421,0.0,0.0,0.0,1.0,22.271993341802744
24,0.0,0.0,0.368421052631579,0.0,0.0,0.0,0.0,0.0,0.0,0.631578947368421,0.0,0.0,0.0,1.0,22.271993341802744
25,0.0,0.0,0.368421052631579,0.0,0.0,0.0,0.0,0.0,0.0,0.631578947368421,0.0,0.0,0.0,1.0,22.271993341802744
26,0.0,0.0,0.368421052631579,0.0,0.0,0.0,0.0,0.0,0.0,0.631578947368421,0.0,0.0,0.0,1.0,22.271993341802744
27,0.0,0.0,0.368421052631579,0.0,0.0,0.0,0.0,0.0,0.0,0.631578947368421,0.0,0.0,0.0,1.0,22.271993341802744
28,0.0,0.0,0.368421052631579,0.0,0.0,0.0,0.0,0.0,0.0,0.631578947368421,0.0,0.0,0.0,1.0,22.271993341802744
29,0.0,0.0,0.368421052631579,0.0,0.0,0.0,0.0,0.0,0.0,0.631578947368421,0.0,0.0,0.0,1.0,22.271993341802744
30,0.0,0.0,0.368421052631579,0.0,0.0,0.0,0.0,0.0,0.0,0.631578947368421,0.0,0.0,0.0,1.0,22.271993341802744
31,0.0,0.0,0.368421052631579,0.0,0.0,0.0,0.0,0.0,0.0,0.631578947368421,0.0,0.0,0.0,1.0,22.271993341802744
32,0.0,0.0,0.368421052631579,0.0,0.0,0.0,0.0,0.0,0.0,0.631578947368421,0.0,0.0,0.0,1.0,22.271993341802744
