,Name,sio2,tio2,al2o3,feo,fe2o3,mno,mgo,cao,na2o,k2o,p2o5,h2o,P,T,viscosity,Sc,ref,Name_publi,Date Update,System,LineNumber,Compo_interest,Sciglass
0,staffmnkmcph_47.9_0_0.4_0.1_0_0_0.1_46.9_0_0_0_4.7,47.85,0.0,0.35,0.06,0.0,0.0,0.13,46.92,0.0,0.0,0.0,4.7,1.1,1873.0,-0.73,,Cochain et al. 2017,CaSiO3,,,1,casio3,False
1,staffmnkmcph_47.9_0_0.4_0.1_0_0_0.1_46.9_0_0_0_4.7,47.85,0.0,0.35,0.06,0.0,0.0,0.13,46.92,0.0,0.0,0.0,4.7,1.8,1883.0,-0.78,,Cochain et al. 2017,CaSiO3,,,2,casio3,False
2,staffmnkmcph_47.9_0_0.4_0.1_0_0_0.1_46.9_0_0_0_4.7,47.85,0.0,0.35,0.06,0.0,0.0,0.13,46.92,0.0,0.0,0.0,4.7,3.4,1973.0,-0.8,,Cochain et al. 2017,CaSiO3,,,3,casio3,False
3,staffmnkmcph_47.9_0_0.4_0.1_0_0_0.1_46.9_0_0_0_4.7,47.85,0.0,0.35,0.06,0.0,0.0,0.13,46.92,0.0,0.0,0.0,4.7,4.3,1913.0,-0.93,,Cochain et al. 2017,CaSiO3,,,4,casio3,False
4,staffmnkmcph_47.9_0_0.4_0.1_0_0_0.1_46.9_0_0_0_4.7,47.85,0.0,0.35,0.06,0.0,0.0,0.13,46.92,0.0,0.0,0.0,4.7,5.9,2173.0,-0.96,,Cochain et al. 2017,CaSiO3,,,5,casio3,False
5,staffmnkmcph_47.9_0_0.4_0.1_0_0_0.1_46.9_0_0_0_4.7,47.85,0.0,0.35,0.06,0.0,0.0,0.13,46.92,0.0,0.0,0.0,4.7,6.1,2008.0,-1.0,,Cochain et al. 2017,CaSiO3,,,6,casio3,False
6,staffmnkmcph_47.9_0_0.4_0.1_0_0_0.1_46.9_0_0_0_4.7,47.85,0.0,0.35,0.06,0.0,0.0,0.13,46.92,0.0,0.0,0.0,4.7,6.4,2128.0,-0.98,,Cochain et al. 2017,CaSiO3,,,7,casio3,False
7,staffmnkmcph_47.9_0_0.4_0.1_0_0_0.1_46.9_0_0_0_4.7,47.85,0.0,0.35,0.06,0.0,0.0,0.13,46.92,0.0,0.0,0.0,4.7,6.8,2061.0,-0.99,,Cochain et al. 2017,CaSiO3,,,8,casio3,False
8,staffmnkmcph_50.2_0_0.1_2_0_0_43.8_1.1_0_0_0_2.8,50.19,0.0,0.14,1.98,0.0,0.0,43.8,1.07,0.0,0.0,0.0,2.82,1.1,1823.0,-0.8,,Cochain et al. 2017,MgSiO3#1,,,9,mgsio3,False
9,staffmnkmcph_50.2_0_0.1_2_0_0_43.8_1.1_0_0_0_2.8,50.19,0.0,0.14,1.98,0.0,0.0,43.8,1.07,0.0,0.0,0.0,2.82,2.6,1923.0,-1.01,,Cochain et al. 2017,MgSiO3#1,,,10,mgsio3,False
10,staffmnkmcph_50.2_0_0.1_2_0_0_43.8_1.1_0_0_0_2.8,50.19,0.0,0.14,1.98,0.0,0.0,43.8,1.07,0.0,0.0,0.0,2.82,3.1,1948.0,-1.05,,Cochain et al. 2017,MgSiO3#1,,,11,mgsio3,False
11,staffmnkmcph_50.2_0_0.1_2_0_0_43.8_1.1_0_0_0_2.8,50.19,0.0,0.14,1.98,0.0,0.0,43.8,1.07,0.0,0.0,0.0,2.82,4.5,1923.0,-1.18,,Cochain et al. 2017,MgSiO3#1,,,12,mgsio3,False
12,staffmnkmcph_50.2_0_0.1_2_0_0_43.8_1.1_0_0_0_2.8,50.19,0.0,0.14,1.98,0.0,0.0,43.8,1.07,0.0,0.0,0.0,2.82,5.2,2023.0,-1.26,,Cochain et al. 2017,MgSiO3#1,,,13,mgsio3,False
13,staffmnkmcph_50.2_0_0.1_2_0_0_43.8_1.1_0_0_0_2.8,50.19,0.0,0.14,1.98,0.0,0.0,43.8,1.07,0.0,0.0,0.0,2.82,6.1,2153.0,-1.26,,Cochain et al. 2017,MgSiO3#1,,,14,mgsio3,False
14,staffmnkmcph_50.2_0_0.1_2_0_0_43.8_1.1_0_0_0_2.8,50.19,0.0,0.14,1.98,0.0,0.0,43.8,1.07,0.0,0.0,0.0,2.82,6.3,2148.0,-1.27,,Cochain et al. 2017,MgSiO3#1,,,15,mgsio3,False
15,staffmnkmcph_50.2_0_0.1_2_0_0_43.8_1.1_0_0_0_2.8,50.19,0.0,0.14,1.98,0.0,0.0,43.8,1.07,0.0,0.0,0.0,2.82,7.0,2123.0,-1.22,,Cochain et al. 2017,MgSiO3#1,,,16,mgsio3,False
16,staffmnkmcph_50.2_0_0.1_2_0_0_43.8_1.1_0_0_0_2.8,50.19,0.0,0.14,1.98,0.0,0.0,43.8,1.07,0.0,0.0,0.0,2.82,7.6,2203.0,-1.21,,Cochain et al. 2017,MgSiO3#1,,,17,mgsio3,False
17,staffmnkmcph_50.8_0_1.2_0.5_0_0_46.6_0.9_0_0_0_0,50.83,0.0,1.21,0.45,0.0,0.0,46.57,0.94,0.0,0.0,0.0,0.0,4.4,1878.0,-1.21,,Cochain et al. 2017,MgSiO3#2,,,18,mgsio3,False
18,staffmnkmcph_50.8_0_1.2_0.5_0_0_46.6_0.9_0_0_0_0,50.83,0.0,1.21,0.45,0.0,0.0,46.57,0.94,0.0,0.0,0.0,0.0,1.0,2113.0,-1.02,,Cochain et al. 2017,MgSiO3#2,,,19,mgsio3,False
19,staffmnkmcph_50.8_0_1.2_0.5_0_0_46.6_0.9_0_0_0_0,50.83,0.0,1.21,0.45,0.0,0.0,46.57,0.94,0.0,0.0,0.0,0.0,2.6,2143.0,-1.16,,Cochain et al. 2017,MgSiO3#2,,,20,mgsio3,False
20,staffmnkmcph_50.8_0_1.2_0.5_0_0_46.6_0.9_0_0_0_0,50.83,0.0,1.21,0.45,0.0,0.0,46.57,0.94,0.0,0.0,0.0,0.0,4.3,2163.0,-1.28,,Cochain et al. 2017,MgSiO3#2,,,21,mgsio3,False
21,staffmnkmcph_50.8_0_1.2_0.5_0_0_46.6_0.9_0_0_0_0,50.83,0.0,1.21,0.45,0.0,0.0,46.57,0.94,0.0,0.0,0.0,0.0,4.5,2113.0,-1.37,,Cochain et al. 2017,MgSiO3#2,,,22,mgsio3,False
22,staffmnkmcph_50.8_0_1.2_0.5_0_0_46.6_0.9_0_0_0_0,50.83,0.0,1.21,0.45,0.0,0.0,46.57,0.94,0.0,0.0,0.0,0.0,4.8,2198.0,-1.22,,Cochain et al. 2017,MgSiO3#2,,,23,mgsio3,False
23,staffmnkmcph_50.8_0_1.2_0.5_0_0_46.6_0.9_0_0_0_0,50.83,0.0,1.21,0.45,0.0,0.0,46.57,0.94,0.0,0.0,0.0,0.0,5.7,2168.0,-1.35,,Cochain et al. 2017,MgSiO3#2,,,24,mgsio3,False
24,staffmnkmcph_50.8_0_1.2_0.5_0_0_46.6_0.9_0_0_0_0,50.83,0.0,1.21,0.45,0.0,0.0,46.57,0.94,0.0,0.0,0.0,0.0,5.8,2118.0,-1.34,,Cochain et al. 2017,MgSiO3#2,,,25,mgsio3,False
25,staffmnkmcph_50.8_0_1.2_0.5_0_0_46.6_0.9_0_0_0_0,50.83,0.0,1.21,0.45,0.0,0.0,46.57,0.94,0.0,0.0,0.0,0.0,6.6,2243.0,-1.4,,Cochain et al. 2017,MgSiO3#2,,,26,mgsio3,False
26,staffmnkmcph_33.2_0_0_61.7_0_4.1_1.1_0_0_0_0_0,33.15,0.0,0.0,61.65,0.0,4.11,1.06,0.04,0.0,0.0,0.0,0.0,2.0,1623.0,-1.29,,Spice et al. 2015,A5,,,27,,False
27,staffmnkmcph_33.2_0_0_61.7_0_4.1_1.1_0_0_0_0_0,33.15,0.0,0.0,61.65,0.0,4.11,1.06,0.04,0.0,0.0,0.0,0.0,3.6,1823.0,-1.42,,Spice et al. 2015,A10,,,28,,False
28,staffmnkmcph_33.2_0_0_61.7_0_4.1_1.1_0_0_0_0_0,33.15,0.0,0.0,61.65,0.0,4.11,1.06,0.04,0.0,0.0,0.0,0.0,6.3,1873.0,-1.46,,Spice et al. 2015,A12,,,29,,False
29,staffmnkmcph_33.2_0_0_61.7_0_4.1_1.1_0_0_0_0_0,33.15,0.0,0.0,61.65,0.0,4.11,1.06,0.04,0.0,0.0,0.0,0.0,9.2,2123.0,-1.51,,Spice et al. 2015,A8,,,30,,False
30,staffmnkmcph_33.2_0_0_61.7_0_4.1_1.1_0_0_0_0_0,33.15,0.0,0.0,61.65,0.0,4.11,1.06,0.04,0.0,0.0,0.0,0.0,1.3,1853.0,-1.29,,Spice et al. 2015,B17,,,31,,False
31,staffmnkmcph_33.2_0_0_61.7_0_4.1_1.1_0_0_0_0_0,33.15,0.0,0.0,61.65,0.0,4.11,1.06,0.04,0.0,0.0,0.0,0.0,2.8,1843.0,-1.38,,Spice et al. 2015,B14,,,32,,False
32,staffmnkmcph_33.2_0_0_61.7_0_4.1_1.1_0_0_0_0_0,33.15,0.0,0.0,61.65,0.0,4.11,1.06,0.04,0.0,0.0,0.0,0.0,3.8,1873.0,-1.39,,Spice et al. 2015,B11,,,33,,False
33,staffmnkmcph_33.2_0_0_61.7_0_4.1_1.1_0_0_0_0_0,33.15,0.0,0.0,61.65,0.0,4.11,1.06,0.04,0.0,0.0,0.0,0.0,4.3,1913.0,-1.39,,Spice et al. 2015,B7,,,34,,False
34,staffmnkmcph_33.2_0_0_61.7_0_4.1_1.1_0_0_0_0_0,33.15,0.0,0.0,61.65,0.0,4.11,1.06,0.04,0.0,0.0,0.0,0.0,5.1,1923.0,-1.43,,Spice et al. 2015,B13,,,35,,False
35,staffmnkmcph_56.3_0_3.1_0_0_0_18.8_18.8_3.1_0_0_0,56.25,0.0,3.12,0.0,0.0,0.0,18.75,18.75,3.13,0.0,0.0,0.0,0.5,1773.0,0.18,,Brearley et al. 1986,1500-Di75-5,,,36,,False
