,sio2,tio2,al2o3,feo,fe2o3,mno,na2o,k2o,mgo,cao,p2o5,h2o,T,viscosity,Author,Year
0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1730.2223876953126,9,Volarovich M.P.,1936
1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1643.3697265625,10,Volarovich M.P.,1936
2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1564.820654296875,11,Volarovich M.P.,1936
3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1493.4384521484376,12,Volarovich M.P.,1936
4,75.33,0.0,0.4,0.0,0.019,0.0,14.25,0.038,0.16,9.8,0.0,0.0,1483.4167236328126,2,Crook H.L.,1939
5,75.33,0.0,0.4,0.0,0.019,0.0,14.25,0.038,0.16,9.8,0.0,0.0,1305.11337890625,3,Crook H.L.,1939
6,75.33,0.0,0.4,0.0,0.019,0.0,14.25,0.038,0.16,9.8,0.0,0.0,1186.8720458984376,4,Crook H.L.,1939
7,75.33,0.0,0.4,0.0,0.019,0.0,14.25,0.038,0.16,9.8,0.0,0.0,1102.7192138671876,5,Crook H.L.,1939
8,75.33,0.0,0.4,0.0,0.019,0.0,14.25,0.038,0.16,9.8,0.0,0.0,1039.7707885742188,6,Crook H.L.,1939
9,70.23,0.0,1.24,0.0,1.56,0.079,15.54,0.5,0.0,10.85,0.0,0.0,1447.5201171875,2,Crook H.L.,1939
10,70.23,0.0,1.24,0.0,1.56,0.079,15.54,0.5,0.0,10.85,0.0,0.0,1269.6686157226563,3,Crook H.L.,1939
11,70.23,0.0,1.24,0.0,1.56,0.079,15.54,0.5,0.0,10.85,0.0,0.0,1156.0071166992188,4,Crook H.L.,1939
12,70.23,0.0,1.24,0.0,1.56,0.079,15.54,0.5,0.0,10.85,0.0,0.0,1077.0969604492188,5,Crook H.L.,1939
13,70.0,0.0,0.0,0.0,0.0,0.0,20.36,0.0,0.0,9.64,0.0,0.0,803.9114135742187,11,Taylor N.W.,1937
14,70.0,0.0,0.0,0.0,0.0,0.0,20.36,0.0,0.0,9.64,0.0,0.0,782.7209228515625,12,Taylor N.W.,1937
15,60.0,0.0,16.0,0.0,0.0,0.0,0.0,16.0,0.0,8.0,0.0,0.0,1128.5875,10,Startsev Yu.K.,1989
16,60.0,0.0,16.0,0.0,0.0,0.0,0.0,16.0,0.0,8.0,0.0,0.0,1097.7397827148438,11,Startsev Yu.K.,1989
17,60.0,0.0,16.0,0.0,0.0,0.0,0.0,16.0,0.0,8.0,0.0,0.0,1068.5337280273438,12,Startsev Yu.K.,1989
18,60.0,0.0,16.0,0.0,0.0,0.0,3.2,12.8,0.0,8.0,0.0,0.0,1062.128759765625,10,Startsev Yu.K.,1989
19,60.0,0.0,16.0,0.0,0.0,0.0,3.2,12.8,0.0,8.0,0.0,0.0,1031.6987670898438,11,Startsev Yu.K.,1989
20,60.0,0.0,16.0,0.0,0.0,0.0,3.2,12.8,0.0,8.0,0.0,0.0,1006.4203247070312,12,Startsev Yu.K.,1989
21,60.0,0.0,16.0,0.0,0.0,0.0,6.4,9.6,0.0,8.0,0.0,0.0,1023.286962890625,10,Startsev Yu.K.,1989
