,sio2,tio2,al2o3,feo,fe2o3,mno,na2o,k2o,mgo,cao,p2o5,h2o,T,viscosity,Author,Year
22,60.0,0.0,16.0,0.0,0.0,0.0,6.4,9.6,0.0,8.0,0.0,0.0,991.2262939453125,11,Startsev Yu.K.,1989
23,60.0,0.0,16.0,0.0,0.0,0.0,6.4,9.6,0.0,8.0,0.0,0.0,962.0619873046875,12,Startsev Yu.K.,1989
24,60.0,0.0,16.0,0.0,0.0,0.0,9.6,6.4,0.0,8.0,0.0,0.0,1000.5856689453125,10,Startsev Yu.K.,1989
25,60.0,0.0,16.0,0.0,0.0,0.0,9.6,6.4,0.0,8.0,0.0,0.0,970.0467895507812,11,Startsev Yu.K.,1989
26,60.0,0.0,16.0,0.0,0.0,0.0,9.6,6.4,0.0,8.0,0.0,0.0,944.7319091796875,12,Startsev Yu.K.,1989
27,60.0,0.0,16.0,0.0,0.0,0.0,16.0,0.0,0.0,8.0,0.0,0.0,1001.2867797851562,10,Startsev Yu.K.,1989
28,60.0,0.0,16.0,0.0,0.0,0.0,16.0,0.0,0.0,8.0,0.0,0.0,969.225927734375,11,Startsev Yu.K.,1989
29,60.0,0.0,16.0,0.0,0.0,0.0,16.0,0.0,0.0,8.0,0.0,0.0,940.0618041992187,12,Startsev Yu.K.,1989
30,71.33,0.0,0.95,0.0,0.06,0.0,13.81,0.95,5.94,6.95,0.0,0.0,817.1498779296875,12,Damdinov D.G.,1986
31,72.17,0.0,0.83,0.0,0.0,0.0,13.36,0.04,4.87,8.73,0.0,0.0,911.0793212890625,9,Mazurin O.V.,1985
32,72.17,0.0,0.83,0.0,0.0,0.0,13.36,0.04,4.87,8.73,0.0,0.0,882.6534790039062,10,Mazurin O.V.,1985
33,72.17,0.0,0.83,0.0,0.0,0.0,13.36,0.04,4.87,8.73,0.0,0.0,857.5013793945312,11,Mazurin O.V.,1985
34,72.17,0.0,0.83,0.0,0.0,0.0,13.36,0.04,4.87,8.73,0.0,0.0,835.0883544921875,12,Mazurin O.V.,1985
35,71.1,0.0,0.9,0.0,0.0,0.0,10.42,2.58,4.62,10.38,0.0,0.0,916.2612060546875,9,Mazurin O.V.,1985
36,71.1,0.0,0.9,0.0,0.0,0.0,10.42,2.58,4.62,10.38,0.0,0.0,884.8740600585937,10,Mazurin O.V.,1985
37,71.1,0.0,0.9,0.0,0.0,0.0,10.42,2.58,4.62,10.38,0.0,0.0,857.4880126953125,11,Mazurin O.V.,1985
38,71.1,0.0,0.9,0.0,0.0,0.0,10.42,2.58,4.62,10.38,0.0,0.0,833.3838256835937,12,Mazurin O.V.,1985
39,71.39,0.0,0.71,0.0,0.0,0.0,6.82,6.54,4.85,9.69,0.0,0.0,924.8283447265625,9,Mazurin O.V.,1985
40,71.39,0.0,0.71,0.0,0.0,0.0,6.82,6.54,4.85,9.69,0.0,0.0,894.5221313476562,10,Mazurin O.V.,1985
41,71.39,0.0,0.71,0.0,0.0,0.0,6.82,6.54,4.85,9.69,0.0,0.0,867.3555053710937,11,Mazurin O.V.,1985
42,71.39,0.0,0.71,0.0,0.0,0.0,6.82,6.54,4.85,9.69,0.0,0.0,842.8646606445312,12,Mazurin O.V.,1985
43,71.56,0.0,1.01,0.0,0.0,0.0,3.67,9.46,4.58,9.72,0.0,0.0,953.20029296875,9,Mazurin O.V.,1985
44,71.56,0.0,1.01,0.0,0.0,0.0,3.67,9.46,4.58,9.72,0.0,0.0,918.8169921875,10,Mazurin O.V.,1985
45,71.56,0.0,1.01,0.0,0.0,0.0,3.67,9.46,4.58,9.72,0.0,0.0,889.7037719726562,11,Mazurin O.V.,1985
46,71.56,0.0,1.01,0.0,0.0,0.0,3.67,9.46,4.58,9.72,0.0,0.0,864.735205078125,12,Mazurin O.V.,1985
47,70.2,0.0,0.89,0.0,0.0,0.0,0.7,12.93,5.39,9.89,0.0,0.0,1002.7318481445312,9,Mazurin O.V.,1985
48,70.2,0.0,0.89,0.0,0.0,0.0,0.7,12.93,5.39,9.89,0.0,0.0,968.9218505859375,10,Mazurin O.V.,1985
49,70.2,0.0,0.89,0.0,0.0,0.0,0.7,12.93,5.39,9.89,0.0,0.0,940.13828125,11,Mazurin O.V.,1985
50,70.2,0.0,0.89,0.0,0.0,0.0,0.7,12.93,5.39,9.89,0.0,0.0,915.3378662109375,12,Mazurin O.V.,1985
51,63.0,0.0,5.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,836.1144165039062,8,Karapetyan G.O.,1984
52,63.0,0.0,5.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,808.4875244140625,9,Karapetyan G.O.,1984
53,63.0,0.0,5.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,782.6282409667969,10,Karapetyan G.O.,1984
54,63.0,0.0,5.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,758.37216796875,11,Karapetyan G.O.,1984
55,61.0,0.0,9.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,877.0946411132812,8,Karapetyan G.O.,1984
56,61.0,0.0,9.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,840.1996826171875,9,Karapetyan G.O.,1984
57,61.0,0.0,9.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,810.095556640625,10,Karapetyan G.O.,1984
58,61.0,0.0,9.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,785.0654968261719,11,Karapetyan G.O.,1984
59,69.7,0.0,0.0,0.0,0.0,0.0,30.3,0.0,0.0,0.0,0.0,0.0,774.9978088378906,10,Stolyar S.V.,1992
60,69.7,0.0,0.0,0.0,0.0,0.0,30.3,0.0,0.0,0.0,0.0,0.0,753.9963439941406,11,Stolyar S.V.,1992
61,69.7,0.0,0.0,0.0,0.0,0.0,30.3,0.0,0.0,0.0,0.0,0.0,735.5749267578125,12,Stolyar S.V.,1992
62,70.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,10.0,0.0,0.0,789.1500610351562,12,Startsev Yu.K.,1978
63,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,1150.6666625976563,7,Varshal B.G.,1980
64,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,1123.8554443359376,8,Varshal B.G.,1980
65,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,1100.0871337890626,9,Varshal B.G.,1980
66,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,1078.8714965820313,10,Varshal B.G.,1980
67,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,1059.8183349609376,11,Varshal B.G.,1980
68,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,1042.6130126953126,12,Varshal B.G.,1980
69,48.7,0.0,1.5,0.0,0.0,0.0,0.0,1.5,0.0,48.3,0.0,0.0,1137.9166015625,7,Varshal B.G.,1980
70,48.7,0.0,1.5,0.0,0.0,0.0,0.0,1.5,0.0,48.3,0.0,0.0,1111.7870849609376,8,Varshal B.G.,1980
71,48.7,0.0,1.5,0.0,0.0,0.0,0.0,1.5,0.0,48.3,0.0,0.0,1086.8308471679688,9,Varshal B.G.,1980
72,48.7,0.0,1.5,0.0,0.0,0.0,0.0,1.5,0.0,48.3,0.0,0.0,1062.9704956054688,10,Varshal B.G.,1980
73,48.7,0.0,1.5,0.0,0.0,0.0,0.0,1.5,0.0,48.3,0.0,0.0,1040.1354736328126,11,Varshal B.G.,1980
74,48.7,0.0,1.5,0.0,0.0,0.0,0.0,1.5,0.0,48.3,0.0,0.0,1018.2610229492187,12,Varshal B.G.,1980
75,49.2,0.0,2.7,0.0,0.0,0.0,0.0,3.0,0.0,45.1,0.0,0.0,1128.3539794921876,7,Varshal B.G.,1980
76,49.2,0.0,2.7,0.0,0.0,0.0,0.0,3.0,0.0,45.1,0.0,0.0,1102.96298828125,8,Varshal B.G.,1980
77,49.2,0.0,2.7,0.0,0.0,0.0,0.0,3.0,0.0,45.1,0.0,0.0,1079.4464477539063,9,Varshal B.G.,1980
78,49.2,0.0,2.7,0.0,0.0,0.0,0.0,3.0,0.0,45.1,0.0,0.0,1057.6041625976563,10,Varshal B.G.,1980
79,49.2,0.0,2.7,0.0,0.0,0.0,0.0,3.0,0.0,45.1,0.0,0.0,1037.263525390625,11,Varshal B.G.,1980
80,49.2,0.0,2.7,0.0,0.0,0.0,0.0,3.0,0.0,45.1,0.0,0.0,1018.2748168945312,12,Varshal B.G.,1980
81,43.6,0.0,4.3,0.0,0.0,0.0,0.7,4.1,0.0,47.3,0.0,0.0,1126.3451904296876,7,Varshal B.G.,1980
82,43.6,0.0,4.3,0.0,0.0,0.0,0.7,4.1,0.0,47.3,0.0,0.0,1102.7843383789063,8,Varshal B.G.,1980
83,43.6,0.0,4.3,0.0,0.0,0.0,0.7,4.1,0.0,47.3,0.0,0.0,1080.3418334960938,9,Varshal B.G.,1980
84,43.6,0.0,4.3,0.0,0.0,0.0,0.7,4.1,0.0,47.3,0.0,0.0,1058.9400390625,10,Varshal B.G.,1980
85,43.6,0.0,4.3,0.0,0.0,0.0,0.7,4.1,0.0,47.3,0.0,0.0,1038.5080932617188,11,Varshal B.G.,1980
86,43.6,0.0,4.3,0.0,0.0,0.0,0.7,4.1,0.0,47.3,0.0,0.0,1018.9816040039062,12,Varshal B.G.,1980
87,42.7,0.0,5.4,0.0,0.0,0.0,0.5,4.9,0.0,46.5,0.0,0.0,1129.0348876953126,7,Varshal B.G.,1980
88,42.7,0.0,5.4,0.0,0.0,0.0,0.5,4.9,0.0,46.5,0.0,0.0,1106.4843505859376,8,Varshal B.G.,1980
89,42.7,0.0,5.4,0.0,0.0,0.0,0.5,4.9,0.0,46.5,0.0,0.0,1084.8730224609376,9,Varshal B.G.,1980
90,42.7,0.0,5.4,0.0,0.0,0.0,0.5,4.9,0.0,46.5,0.0,0.0,1064.143408203125,10,Varshal B.G.,1980
91,42.7,0.0,5.4,0.0,0.0,0.0,0.5,4.9,0.0,46.5,0.0,0.0,1044.2427124023438,11,Varshal B.G.,1980
92,42.7,0.0,5.4,0.0,0.0,0.0,0.5,4.9,0.0,46.5,0.0,0.0,1025.1221069335938,12,Varshal B.G.,1980
93,48.6,0.0,3.2,0.0,0.0,0.0,3.2,0.0,0.0,45.0,0.0,0.0,1105.3500732421876,7,Varshal B.G.,1980
94,48.6,0.0,3.2,0.0,0.0,0.0,3.2,0.0,0.0,45.0,0.0,0.0,1079.71591796875,8,Varshal B.G.,1980
95,48.6,0.0,3.2,0.0,0.0,0.0,3.2,0.0,0.0,45.0,0.0,0.0,1055.3652709960938,9,Varshal B.G.,1980
96,48.6,0.0,3.2,0.0,0.0,0.0,3.2,0.0,0.0,45.0,0.0,0.0,1032.2040161132813,10,Varshal B.G.,1980
97,48.6,0.0,3.2,0.0,0.0,0.0,3.2,0.0,0.0,45.0,0.0,0.0,1010.1471923828125,11,Varshal B.G.,1980
98,48.6,0.0,3.2,0.0,0.0,0.0,3.2,0.0,0.0,45.0,0.0,0.0,989.117529296875,12,Varshal B.G.,1980
99,41.4,0.0,5.8,0.0,0.0,0.0,5.9,0.0,0.0,46.9,0.0,0.0,1089.5221923828126,7,Varshal B.G.,1980
100,41.4,0.0,5.8,0.0,0.0,0.0,5.9,0.0,0.0,46.9,0.0,0.0,1061.6885131835938,8,Varshal B.G.,1980
101,41.4,0.0,5.8,0.0,0.0,0.0,5.9,0.0,0.0,46.9,0.0,0.0,1035.2416748046876,9,Varshal B.G.,1980
102,41.4,0.0,5.8,0.0,0.0,0.0,5.9,0.0,0.0,46.9,0.0,0.0,1010.0806030273437,10,Varshal B.G.,1980
103,41.4,0.0,5.8,0.0,0.0,0.0,5.9,0.0,0.0,46.9,0.0,0.0,986.1136840820312,11,Varshal B.G.,1980
104,41.4,0.0,5.8,0.0,0.0,0.0,5.9,0.0,0.0,46.9,0.0,0.0,963.2579711914062,12,Varshal B.G.,1980
105,59.63,0.0,12.28,0.0,0.0,0.0,0.0,0.0,16.22,11.88,0.0,0.0,1583.2919677734376,2,Weirauch D.A.,1994
106,74.81,0.0,0.0,0.0,0.0,0.0,14.5,0.0,0.0,10.69,0.0,0.0,1353.659765625,2,Bobkova N.M.,1987
107,73.03,0.0,0.0,0.0,0.0,0.0,13.21,0.0,0.0,13.75,0.0,0.0,1398.2409423828126,2,Bobkova N.M.,1987
108,73.03,0.0,0.0,0.0,0.0,0.0,13.21,0.0,0.0,13.75,0.0,0.0,1272.93125,3,Bobkova N.M.,1987
109,73.43,0.0,0.2,0.0,0.0,0.0,26.37,0.0,0.0,0.0,0.0,0.0,1359.8052734375,2,Makhnavetskii A,1972
110,70.64,0.0,2.06,0.0,0.11,0.0,13.82,0.0,6.33,7.03,0.0,0.0,1749.718359375,1,Makhnavetskii A,1965
111,70.64,0.0,2.06,0.0,0.11,0.0,13.82,0.0,6.33,7.03,0.0,0.0,1460.7629150390626,2,Makhnavetskii A,1965
112,70.0,0.0,0.0,0.0,0.0,0.0,20.36,0.0,0.0,9.64,0.0,0.0,1359.351416015625,2,Saringyulyan R.,1969
113,70.0,0.0,0.0,0.0,0.0,0.0,20.36,0.0,0.0,9.64,0.0,0.0,1207.9606689453124,3,Saringyulyan R.,1969
114,70.0,0.0,0.0,0.0,0.0,0.0,20.36,0.0,0.0,9.64,0.0,0.0,1105.5683959960938,4,Saringyulyan R.,1969
115,70.0,0.0,0.0,0.0,0.0,0.0,20.36,0.0,0.0,9.64,0.0,0.0,1031.700048828125,5,Saringyulyan R.,1969
116,70.0,0.0,0.0,0.0,0.0,0.0,20.36,0.0,0.0,9.64,0.0,0.0,975.8937133789062,6,Saringyulyan R.,1969
117,70.0,0.0,0.0,0.0,0.0,0.0,20.36,0.0,0.0,9.64,0.0,0.0,932.246435546875,7,Saringyulyan R.,1969
118,70.0,0.0,0.0,0.0,0.0,0.0,20.36,0.0,0.0,9.64,0.0,0.0,897.1747192382812,8,Saringyulyan R.,1969
119,70.0,0.0,0.0,0.0,0.0,0.0,20.36,0.0,0.0,9.64,0.0,0.0,868.3773559570312,9,Saringyulyan R.,1969
120,71.14,0.0,1.77,0.0,0.075,0.0,14.76,0.51,4.33,7.41,0.0,0.0,1667.541845703125,1,Saringyulyan R.,1969
121,71.14,0.0,1.77,0.0,0.075,0.0,14.76,0.51,4.33,7.41,0.0,0.0,1472.6725830078126,2,Saringyulyan R.,1969
122,71.14,0.0,1.77,0.0,0.075,0.0,14.76,0.51,4.33,7.41,0.0,0.0,1327.8681396484376,3,Saringyulyan R.,1969
123,71.14,0.0,1.77,0.0,0.075,0.0,14.76,0.51,4.33,7.41,0.0,0.0,1216.0311645507813,4,Saringyulyan R.,1969
124,71.14,0.0,1.77,0.0,0.075,0.0,14.76,0.51,4.33,7.41,0.0,0.0,1127.05380859375,5,Saringyulyan R.,1969
125,71.14,0.0,1.77,0.0,0.075,0.0,14.76,0.51,4.33,7.41,0.0,0.0,1054.5771850585938,6,Saringyulyan R.,1969
126,71.14,0.0,1.77,0.0,0.075,0.0,14.76,0.51,4.33,7.41,0.0,0.0,994.4006713867187,7,Saringyulyan R.,1969
127,71.14,0.0,1.77,0.0,0.075,0.0,14.76,0.51,4.33,7.41,0.0,0.0,943.6379760742187,8,Saringyulyan R.,1969
128,71.14,0.0,1.77,0.0,0.075,0.0,14.76,0.51,4.33,7.41,0.0,0.0,900.2403930664062,9,Saringyulyan R.,1969
129,69.25,0.0,3.54,0.0,0.077,0.0,13.9,1.17,4.55,7.52,0.0,0.0,1512.239111328125,2,Saringyulyan R.,1969
130,69.25,0.0,3.54,0.0,0.077,0.0,13.9,1.17,4.55,7.52,0.0,0.0,1369.7280029296876,3,Saringyulyan R.,1969
131,69.25,0.0,3.54,0.0,0.077,0.0,13.9,1.17,4.55,7.52,0.0,0.0,1256.7031005859376,4,Saringyulyan R.,1969
132,69.25,0.0,3.54,0.0,0.077,0.0,13.9,1.17,4.55,7.52,0.0,0.0,1164.87119140625,5,Saringyulyan R.,1969
133,69.25,0.0,3.54,0.0,0.077,0.0,13.9,1.17,4.55,7.52,0.0,0.0,1088.7823852539063,6,Saringyulyan R.,1969
134,69.25,0.0,3.54,0.0,0.077,0.0,13.9,1.17,4.55,7.52,0.0,0.0,1024.7080444335938,7,Saringyulyan R.,1969
135,69.25,0.0,3.54,0.0,0.077,0.0,13.9,1.17,4.55,7.52,0.0,0.0,970.0106567382812,8,Saringyulyan R.,1969
136,69.25,0.0,3.54,0.0,0.077,0.0,13.9,1.17,4.55,7.52,0.0,0.0,922.7722534179687,9,Saringyulyan R.,1969
137,69.25,0.0,3.54,0.0,0.077,0.0,13.9,1.17,4.55,7.52,0.0,0.0,881.5644287109375,10,Saringyulyan R.,1969
138,66.34,0.0,6.43,0.0,0.16,0.0,12.31,2.34,4.54,7.87,0.0,0.0,1553.970556640625,2,Saringyulyan R.,1969
139,66.34,0.0,6.43,0.0,0.16,0.0,12.31,2.34,4.54,7.87,0.0,0.0,1406.49619140625,3,Saringyulyan R.,1969
140,66.34,0.0,6.43,0.0,0.16,0.0,12.31,2.34,4.54,7.87,0.0,0.0,1289.2486328125,4,Saringyulyan R.,1969
141,66.34,0.0,6.43,0.0,0.16,0.0,12.31,2.34,4.54,7.87,0.0,0.0,1193.7987426757813,5,Saringyulyan R.,1969
142,66.34,0.0,6.43,0.0,0.16,0.0,12.31,2.34,4.54,7.87,0.0,0.0,1114.5847534179688,6,Saringyulyan R.,1969
143,66.34,0.0,6.43,0.0,0.16,0.0,12.31,2.34,4.54,7.87,0.0,0.0,1047.788916015625,7,Saringyulyan R.,1969
144,66.34,0.0,6.43,0.0,0.16,0.0,12.31,2.34,4.54,7.87,0.0,0.0,990.7032836914062,8,Saringyulyan R.,1969
145,66.34,0.0,6.43,0.0,0.16,0.0,12.31,2.34,4.54,7.87,0.0,0.0,941.3539184570312,9,Saringyulyan R.,1969
146,66.34,0.0,6.43,0.0,0.16,0.0,12.31,2.34,4.54,7.87,0.0,0.0,898.2681030273437,10,Saringyulyan R.,1969
147,71.43,0.0,0.58,0.0,0.0,0.0,15.46,0.76,5.61,6.16,0.0,0.0,1636.5038818359376,1,Saringyulyan R.,1969
148,71.43,0.0,0.58,0.0,0.0,0.0,15.46,0.76,5.61,6.16,0.0,0.0,1455.4069580078126,2,Saringyulyan R.,1969
149,71.43,0.0,0.58,0.0,0.0,0.0,15.46,0.76,5.61,6.16,0.0,0.0,1312.507666015625,3,Saringyulyan R.,1969
150,71.43,0.0,0.58,0.0,0.0,0.0,15.46,0.76,5.61,6.16,0.0,0.0,1196.8736938476563,4,Saringyulyan R.,1969
151,71.43,0.0,0.58,0.0,0.0,0.0,15.46,0.76,5.61,6.16,0.0,0.0,1101.3813842773438,5,Saringyulyan R.,1969
152,71.43,0.0,0.58,0.0,0.0,0.0,15.46,0.76,5.61,6.16,0.0,0.0,1021.1897338867187,6,Saringyulyan R.,1969
153,71.43,0.0,0.58,0.0,0.0,0.0,15.46,0.76,5.61,6.16,0.0,0.0,952.8940795898437,7,Saringyulyan R.,1969
154,71.43,0.0,0.58,0.0,0.0,0.0,15.46,0.76,5.61,6.16,0.0,0.0,894.0301879882812,8,Saringyulyan R.,1969
155,71.43,0.0,0.58,0.0,0.0,0.0,15.46,0.76,5.61,6.16,0.0,0.0,842.770361328125,9,Saringyulyan R.,1969
156,71.43,0.0,0.58,0.0,0.0,0.0,15.46,0.76,5.61,6.16,0.0,0.0,797.7306274414062,10,Saringyulyan R.,1969
157,70.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,10.0,0.0,0.0,1027.952490234375,5,Tretjakova N.I.,1969
158,70.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,10.0,0.0,0.0,973.9818481445312,6,Tretjakova N.I.,1969
159,70.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,10.0,0.0,0.0,929.8761962890625,7,Tretjakova N.I.,1969
160,70.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,10.0,0.0,0.0,893.1572631835937,8,Tretjakova N.I.,1969
161,70.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,10.0,0.0,0.0,862.1127685546875,9,Tretjakova N.I.,1969
162,70.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,10.0,0.0,0.0,835.5217651367187,10,Tretjakova N.I.,1969
163,70.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,10.0,0.0,0.0,812.4899658203125,11,Tretjakova N.I.,1969
164,70.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,10.0,0.0,0.0,792.3476928710937,12,Tretjakova N.I.,1969
165,70.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,1037.2341674804688,5,Tretjakova N.I.,1969
166,70.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,967.7363037109375,6,Tretjakova N.I.,1969
167,70.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,912.9668334960937,7,Tretjakova N.I.,1969
168,70.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,868.692236328125,8,Tretjakova N.I.,1969
169,70.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,832.1598266601562,9,Tretjakova N.I.,1969
170,70.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,801.50205078125,10,Tretjakova N.I.,1969
171,70.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,775.4073547363281,11,Tretjakova N.I.,1969
172,70.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,752.927587890625,12,Tretjakova N.I.,1969
173,70.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,975.7823852539062,5,Tretjakova N.I.,1969
174,70.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,912.4701904296875,6,Tretjakova N.I.,1969
175,70.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,862.3484252929687,7,Tretjakova N.I.,1969
176,70.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,821.6837524414062,8,Tretjakova N.I.,1969
177,70.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,788.0304321289062,9,Tretjakova N.I.,1969
178,70.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,759.7190307617188,10,Tretjakova N.I.,1969
179,70.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,735.5711120605469,11,Tretjakova N.I.,1969
180,70.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,714.7312072753906,12,Tretjakova N.I.,1969
181,60.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,10.0,10.0,0.0,0.0,978.7175048828125,5,Tretjakova N.I.,1969
182,60.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,10.0,10.0,0.0,0.0,933.4669555664062,6,Tretjakova N.I.,1969
183,60.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,10.0,10.0,0.0,0.0,896.1239990234375,7,Tretjakova N.I.,1969
184,60.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,10.0,10.0,0.0,0.0,864.7825073242187,8,Tretjakova N.I.,1969
185,60.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,10.0,10.0,0.0,0.0,838.1033081054687,9,Tretjakova N.I.,1969
186,60.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,10.0,10.0,0.0,0.0,815.1180786132812,10,Tretjakova N.I.,1969
187,60.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,10.0,10.0,0.0,0.0,795.1092895507812,11,Tretjakova N.I.,1969
188,60.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,10.0,10.0,0.0,0.0,777.5339416503906,12,Tretjakova N.I.,1969
